Provinsi,Indeks_Ketahanan_Pangan,Jumlah_Komoditas,Produksi Bawang Merah (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Total_Ekspor_Potensial,Potensi_Ekspor
BANTEN,0.3763950057658951,9,13950.76,76425.13,76213.37,40099.3,105529.12,1130.5,2576.6,86815.48,16435.72,4963.71,3213.32,75215.63,4726.1,0
DI YOGYAKARTA,0.3603621690745376,9,267186.01,31826.38,250299.13,17371.14,58719.0,200.05,66638.7,33900.58,28246.81,6677.6,28075.18,451717.72,4726.1,0
DKI JAKARTA,0.16666666666666666,9,52.73,24522.03,421.93,0.23,31918.84,64.0,7.9,19158.71,528.39,29.97,0.32,0.66,4726.1,0
JAWA BARAT,0.826571830874279,9,1994154.01,372798.98,1987916.59,666031.83,683886.87,910961.36,10804.07,1498030.17,1188275.45,2684310.69,1372168.21,2217330.71,4726.1,1
JAWA TENGAH,0.7324811844358875,9,5840345.01,161035.0,2663050.62,181843.57,345352.28,1034344.6,220861.69,971342.68,576275.9,1130126.19,501228.63,1673982.71,4726.1,1
JAWA TIMUR,0.8008631242537664,9,5003012.27,148956.38,6037178.26,312706.03,331999.52,788540.88,605492.8,833208.09,941809.95,1268102.3,1045356.44,356646.68,4726.1,1
