Provinsi,Produksi_Padi_Ton,Luas_Panen_Ha,Produktivitas_Ton_per_Ha,Jumlah_Komoditas,Produksi_Padi_Ton_Index,Produktivitas_Ton_per_Ha_Index,Jumlah_Komoditas_Index,Indeks_Ketahanan_Pangan,Tingkat_Ketahanan
BANTEN,1774016.87,345420.54,5.09139393246572,9,0.1698333780550612,0.459351639242624,0.5,0.3763950057658951,Rendah
DI YOGYAKARTA,547510.1,107224.23,5.186486647036244,9,0.05231668941442809,0.5287698178091848,0.5,0.3603621690745376,Rendah
DKI JAKARTA,1487.45,273.54,4.462149616063524,9,0.0,0.0,0.5,0.16666666666666666,Sangat Rendah
JAWA BARAT,10226653.75,1755300.21,5.8320028235968415,9,0.979715492622837,1.0,0.5,0.826571830874279,Tinggi
JAWA TENGAH,9304062.84,1674994.1300000001,5.56642296208453,9,0.8913182400637268,0.8061253132439357,0.5,0.7324811844358875,Sedang
JAWA TIMUR,10438360.58,1841346.29,5.698564563426075,9,1.0,0.9025893727612992,0.5,0.8008631242537664,Tinggi
